순번,국립공원,사무소,관리지구,탐방지역,일자,전체 탐방객수
1,설악산,설악산,설악동,설악동,2018.1.1,7409
2,설악산,설악산,설악동,설악동 야영장,2018.1.1,45
3,설악산,설악산,설악동,설악동 탐방안내소,2018.1.1,0
4,설악산,설악산,오색지구,남설악,2018.1.1,605
5,설악산,설악산,오색지구,약수터입구,2018.1.1,132
6,설악산,설악산,오색지구,용소폭포,2018.1.1,45
7,설악산,설악산,오색지구,흘림골,2018.1.1,0
8,설악산,설악산,장수대지구,장수대,2018.1.1,7
9,설악산,설악산,장수대지구,한계령,2018.1.1,207
10,설악산,설악산,백담지구,남교리,2018.1.1,17
11,설악산,설악산,백담지구,백담,2018.1.1,195
12,설악산,설악산,점봉산,점봉산(곰배령),2018.1.1,0
13,설악산,설악산,설악동,설악동,2018.1.2,4429
14,설악산,설악산,설악동,설악동 야영장,2018.1.2,33
15,설악산,설악산,설악동,설악동 탐방안내소,2018.1.2,0
16,설악산,설악산,오색지구,남설악,2018.1.2,64
17,설악산,설악산,오색지구,약수터입구,2018.1.2,93
18,설악산,설악산,오색지구,용소폭포,2018.1.2,11
19,설악산,설악산,오색지구,흘림골,2018.1.2,0
20,설악산,설악산,장수대지구,장수대,2018.1.2,9
21,설악산,설악산,장수대지구,한계령,2018.1.2,43
22,설악산,설악산,백담지구,남교리,2018.1.2,6
23,설악산,설악산,백담지구,백담,2018.1.2,56
24,설악산,설악산,점봉산,점봉산(곰배령),2018.1.2,0
25,설악산,설악산,설악동,설악동,2018.1.3,4817
26,설악산,설악산,설악동,설악동 야영장,2018.1.3,9
27,설악산,설악산,설악동,설악동 탐방안내소,2018.1.3,0
28,설악산,설악산,오색지구,남설악,2018.1.3,49
29,설악산,설악산,오색지구,약수터입구,2018.1.3,95
30,설악산,설악산,오색지구,용소폭포,2018.1.3,7
31,설악산,설악산,오색지구,흘림골,2018.1.3,0
32,설악산,설악산,장수대지구,장수대,2018.1.3,14
33,설악산,설악산,장수대지구,한계령,2018.1.3,34
34,설악산,설악산,백담지구,남교리,2018.1.3,3
35,설악산,설악산,백담지구,백담,2018.1.3,45
36,설악산,설악산,점봉산,점봉산(곰배령),2018.1.3,0
37,설악산,설악산,설악동,설악동,2018.1.4,3236
38,설악산,설악산,설악동,설악동 야영장,2018.1.4,9
39,설악산,설악산,설악동,설악동 탐방안내소,2018.1.4,0
40,설악산,설악산,오색지구,남설악,2018.1.4,45
41,설악산,설악산,오색지구,약수터입구,2018.1.4,77
42,설악산,설악산,오색지구,용소폭포,2018.1.4,4
43,설악산,설악산,오색지구,흘림골,2018.1.4,0
44,설악산,설악산,장수대지구,장수대,2018.1.4,7
45,설악산,설악산,장수대지구,한계령,2018.1.4,71
46,설악산,설악산,백담지구,남교리,2018.1.4,3
47,설악산,설악산,백담지구,백담,2018.1.4,125
48,설악산,설악산,점봉산,점봉산(곰배령),2018.1.4,2
49,설악산,설악산,설악동,설악동,2018.1.5,3781
50,설악산,설악산,설악동,설악동 야영장,2018.1.5,24
51,설악산,설악산,설악동,설악동 탐방안내소,2018.1.5,0
52,설악산,설악산,오색지구,남설악,2018.1.5,45
53,설악산,설악산,오색지구,약수터입구,2018.1.5,218
54,설악산,설악산,오색지구,용소폭포,2018.1.5,33
55,설악산,설악산,오색지구,흘림골,2018.1.5,0
56,설악산,설악산,장수대지구,장수대,2018.1.5,1
57,설악산,설악산,장수대지구,한계령,2018.1.5,53
58,설악산,설악산,백담지구,남교리,2018.1.5,4
59,설악산,설악산,백담지구,백담,2018.1.5,59
60,설악산,설악산,점봉산,점봉산(곰배령),2018.1.5,0
61,설악산,설악산,설악동,설악동,2018.1.6,7258
62,설악산,설악산,설악동,설악동 야영장,2018.1.6,36
