Date,Total_Rescued_Count,Accident_Cause_List,Accident_Outcome_List,AvgWindSpd(m/s),MaxWindSpd(m/s),AvgTempC(℃),MaxTempC(℃),TimeOfMaxTempC,MinTempC(℃),TimeOfMinTempC,Diurnal_Temperature_Range,Avg_Humidity_pct(%rh),Precipitation_mm(mm),Total_Visitor_Count
2018-01-01,0.0,,,2.6,6.4,1.0,4.2,14:43,-3.2,3:43,7.4,21.3,0.0,7454
2018-01-02,1.0,['일반조난'],['인명구조'],2.9,7.0,1.5,5.6,13:58,-2.1,23:44,7.7,21.8,0.0,4462
2018-01-03,0.0,,,1.6,3.7,-1.6,3.3,14:32,-5.5,7:32,8.8,29.9,0.0,4826
2018-01-04,0.0,,,1.5,3.3,-1.0,2.2,14:49,-5.7,3:42,7.9,53.3,0.0,3245
2018-01-05,0.0,,,1.2,2.8,1.5,7.2,13:31,-1.4,8:06,8.6,45.4,0.0,3805
2018-01-06,0.0,,,1.9,3.9,0.8,5.9,13:48,-2.2,7:24,8.1,32.4,0.0,7294
2018-01-07,0.0,,,1.1,2.3,2.2,6.6,12:32,-2.9,0:56,9.5,50.1,0.0,6151
2018-01-08,0.0,,,1.8,5.3,4.0,8.1,12:49,-1.2,23:54,9.3,48.9,1.1,3146
2018-01-09,0.0,,,3.3,7.3,-3.1,-0.4,0:57,-4.9,8:01,4.5,40.1,0.4,1025
2018-01-10,0.0,,,2.7,5.7,-6.4,-3.1,13:26,-9.8,23:35,6.7,32.0,0.0,2194
2018-01-11,0.0,,,1.6,4.0,-8.6,-3.1,14:00,-11.9,7:39,8.8,34.1,0.0,2135
2018-01-12,0.0,,,1.5,3.8,-7.5,-2.4,14:59,-14.1,5:01,11.7,29.0,0.0,3952
2018-01-13,0.0,,,1.5,4.2,-1.7,3.0,13:23,-7.4,1:36,10.4,42.0,0.0,6623
2018-01-14,0.0,,,1.6,4.0,2.3,6.8,23:57,-5.6,4:11,12.4,47.1,0.0,6064
2018-01-15,0.0,,,2.1,5.8,7.4,11.9,13:35,2.9,23:46,9.0,45.1,0.0,2246
2018-01-16,0.0,,,2.1,4.3,6.6,9.4,12:41,3.4,0:01,6.0,47.3,0.0,2936
2018-01-17,0.0,,,1.7,4.9,5.1,6.9,13:49,2.1,19:36,4.8,70.5,0.0,2729
2018-01-18,0.0,,,1.7,5.2,5.2,8.0,13:32,2.5,23:28,5.5,31.9,0.0,4052
2018-01-19,0.0,,,1.4,3.7,3.1,7.7,14:13,-1.1,7:05,8.8,25.8,0.0,4642
2018-01-20,0.0,,,2.2,5.0,4.2,7.0,12:24,1.2,8:03,5.8,41.4,0.0,6167
2018-01-21,0.0,,,1.8,5.3,2.1,5.5,12:32,-0.8,6:29,6.3,31.8,0.0,6224
2018-01-22,0.0,,,2.0,4.7,0.0,3.1,12:45,-2.8,23:33,5.9,66.6,2.4,4585
2018-01-23,0.0,,,2.9,8.0,-9.0,-1.7,0:11,-13.8,23:57,12.1,30.3,0.0,1192
2018-01-24,0.0,,,2.4,6.1,-12.3,-8.4,13:59,-15.9,4:25,7.5,23.5,0.0,2463
2018-01-25,0.0,,,2.1,4.1,-10.8,-4.9,14:22,-16.2,6:45,11.3,28.0,0.0,1887
2018-01-26,0.0,,,2.0,4.0,-10.4,-5.2,15:12,-15.8,5:19,10.6,25.3,0.0,2336
2018-01-27,0.0,,,1.8,4.5,-4.7,0.7,14:36,-11.3,3:07,12.0,28.9,0.0,6041
2018-01-28,0.0,,,2.6,6.4,-2.5,1.4,12:10,-6.4,23:08,7.8,22.3,0.0,4822
2018-01-29,0.0,,,2.7,6.2,-6.7,-2.6,15:21,-10.5,7:18,7.9,23.3,0.0,1655
2018-01-30,0.0,,,2.5,8.5,-3.3,1.0,15:24,-10.3,5:49,11.3,34.4,0.0,1960
2018-01-31,0.0,,,1.6,4.1,-0.4,2.1,14:18,-3.2,23:56,5.3,31.5,0.0,1461
2018-02-01,0.0,,,1.8,3.7,-2.7,1.9,12:51,-6.9,7:30,8.8,40.3,0.0,2982
2018-02-02,0.0,,,2.7,7.0,-0.5,3.2,11:07,-5.4,0:50,8.6,58.3,0.0,3617
2018-02-03,2.0,['일반조난'],['인명구조'],2.3,5.3,-3.4,0.3,12:52,-7.8,23:02,8.1,33.8,0.0,5564
2018-02-04,0.0,,,1.5,3.9,-6.5,-2.0,12:18,-9.4,23:48,7.4,31.0,0.0,4653
2018-02-05,0.0,,,2.0,4.9,-8.0,-3.4,14:39,-11.7,7:29,8.3,26.0,0.0,3195
2018-02-06,0.0,,,1.6,3.8,-8.8,-3.5,13:42,-13.2,6:50,9.7,28.6,0.0,3598
2018-02-07,0.0,,,1.9,3.8,-5.2,0.2,13:30,-11.3,1:48,11.5,26.8,0.0,3439
2018-02-08,0.0,,,1.9,5.2,-1.4,3.5,14:09,-7.4,6:35,10.9,23.0,0.0,2863
2018-02-09,0.0,,,1.4,3.9,2.9,8.6,13:48,-4.1,1:49,12.7,40.6,0.0,4096
2018-02-10,2.0,['일반조난'],['인명구조'],3.2,5.5,2.6,8.0,13:41,-5.7,23:52,13.7,30.6,0.0,5089
2018-02-11,0.0,,,3.7,6.7,-5.3,-2.4,15:15,-8.4,6:58,6.0,19.8,0.0,3435
2018-02-12,0.0,,,2.4,4.6,-4.9,-0.7,15:10,-9.1,4:36,8.4,24.9,0.0,2450
2018-02-13,0.0,,,2.5,5.5,0.1,4.3,22:58,-6.7,6:11,11.0,33.3,0.0,2486
2018-02-14,1.0,['일반조난'],['인명구조'],2.8,6.1,6.5,10.5,15:58,2.7,3:19,7.8,37.5,0.0,2324
2018-02-15,0.0,,,1.8,3.8,0.0,5.0,0:08,-3.9,23:11,8.9,41.6,0.0,4267
2018-02-16,0.0,,,2.1,4.9,1.8,7.6,14:46,-5.5,2:50,13.1,32.1,0.0,7421
2018-02-17,0.0,,,2.2,4.8,-0.5,1.8,12:00,-3.3,6:59,5.1,20.6,0.0,10064
2018-02-18,0.0,,,1.4,2.8,0.1,3.5,11:45,-3.2,6:56,6.7,33.4,0.0,7816
2018-02-19,0.0,,,1.0,2.6,2.8,6.7,11:18,-1.8,0:34,8.5,46.1,0.0,3232
2018-02-20,0.0,,,1.8,4.2,2.9,7.4,11:44,-1.4,7:09,8.8,30.9,0.0,3808
2018-02-21,0.0,,,2.0,4.8,-1.1,2.4,13:17,-3.9,21:01,6.3,30.5,0.0,3914
2018-02-22,0.0,,,1.7,4.3,2.5,7.5,14:04,-3.1,1:44,10.6,35.9,0.0,3285
2018-02-23,0.0,,,2.4,4.9,4.8,8.1,22:04,0.4,3:05,7.7,55.0,0.0,5595
2018-02-24,0.0,,,3.2,8.6,0.3,7.6,0:01,-1.1,13:57,8.7,80.5,5.4,7730
2018-02-25,0.0,,,2.0,5.6,0.1,2.5,11:12,-2.0,7:13,4.5,83.3,0.0,7577
2018-02-26,0.0,,,1.7,3.7,1.6,5.1,13:07,-1.3,4:36,6.4,72.6,0.0,4222
2018-02-27,0.0,,,1.4,4.3,3.3,9.6,11:53,-2.4,4:42,12.0,79.0,0.0,5383
2018-02-28,0.0,,,2.5,5.9,3.1,5.2,11:25,-0.4,22:03,5.6,96.8,49.0,1152
2018-03-01,0.0,,,3.6,9.2,1.1,5.3,9:26,-2.7,23:51,8.0,57.9,0.6,3014
2018-03-02,0.0,,,1.5,3.9,1.9,6.6,20:39,-6.2,6:46,12.8,38.4,0.0,5206
2018-03-03,0.0,,,1.5,3.8,9.2,15.2,22:30,2.2,6:49,13.0,47.9,0.0,9398
2018-03-04,0.0,,,2.0,5.5,9.2,14.3,1:12,4.4,24:00:00,9.9,78.8,16.0,4084
2018-03-05,0.0,,,2.3,5.6,0.3,4.4,0:01,-2.7,23:49,7.1,82.5,22.0,1676
2018-03-06,0.0,,,1.7,4.0,1.1,4.7,13:48,-3.7,3:20,8.4,77.1,0.0,2377
2018-03-07,0.0,,,1.3,3.9,2.5,6.4,11:51,-0.1,6:19,6.5,84.8,2.4,1976
2018-03-08,0.0,,,2.2,5.6,1.6,3.4,16:40,-0.2,6:15,3.6,90.8,9.4,1545
2018-03-09,0.0,,,1.2,4.0,1.0,2.3,0:01,-0.7,23:36,3.0,80.1,0.0,3555
2018-03-10,0.0,,,1.7,4.9,4.9,9.9,18:10,-2.2,6:09,12.1,66.1,0.0,6817
2018-03-11,0.0,,,2.5,5.2,4.9,7.6,14:51,0.9,23:59,6.7,62.5,0.0,5148
2018-03-12,0.0,,,1.4,3.9,8.1,14.2,13:45,0.0,2:42,14.2,64.3,0.0,2153
2018-03-13,0.0,,,3.3,6.0,17.4,22.4,14:09,10.7,0:44,11.7,30.8,0.0,1358
2018-03-14,0.0,,,1.8,3.9,16.5,19.7,11:39,11.2,4:41,8.5,52.6,0.0,2618
